ID #,Date,Link,Question,Quote
1998,4/4/13,http://dalneitzel.com/2013/04/04/the-nine-clues-part-twentytwo/,"Dear Mr. Fenn,  We are a group of avid elderly bridge players in San Diego who after reading your book hope to find your treasure. We are not into poetry as much as the memoir. We realize the clues are in the poem, but were wondering if there isn't at least one clue in each chapter. Thank you for a great book.  Sincerely, Emily.","Emily, All of the information you need to find the treasure is in the poem. The chapters in my book have very subtle hints but are not deliberately placed to aid the seeker. Good luck in the search. F"
2005,3/28/13,http://www.huffingtonpost.com/2013/03/28/forrest-fenn-11th-clue_n_2971900.html,N/A - Consolidated quotes appearing throughout the article.,"No need to dig up the old outhouses, the treasure is not associated with any structure."
2012,2/18/11,http://www.huffingtonpost.com/margie-goldsmith/over-1-million-in-buried-_b_822894.html,N/A - Consolidated quotes appearing throughout the article.,"If it comes back, I‰Ûªm going to grab a pocketful of sleeping pills, take a treasure chest filled with treasure and a copy of my bio; and I‰Ûªm going to walk out into the desert. Sometime they‰Ûªll find my bones and the treasure, but my bio will be inside the box, so at least they‰Ûªll know who I was... I just got tired of waiting... It‰Ûªs difficult so it won‰Ûªt be found right away, but it‰Ûªs easy enough so that it‰Ûªs not impossible to find it... I want sweaty bodies out there looking for my treasure ‰ÛÓ they just have to find the clues."
2019,unknown,http://dalneitzel.com/cheat-sheet/,Will the poem lead you to the treasure?,Yes if you know where to start.
2026,unknown,http://dalneitzel.com/cheat-sheet/,Are there clues in TTOTC book?,"Yes, because the poem is in the book."
2033,unknown,http://dalneitzel.com/cheat-sheet/,Are there clues in TFTW book?,"Yes, because the map is in the book."
2040,unknown,http://dalneitzel.com/cheat-sheet/,Are there subtle hints in the TTOTC book?,"Yes, if you can recognize them."
2047,unknown,http://dalneitzel.com/cheat-sheet/,Were both trips made on the same day/date?,I made two trips from my car to the hiding place and it was done in one afternoon.
2054,unknown,http://dalneitzel.com/cheat-sheet/,Are you willing to say whether the place of the treasure chest is the same as the one where you had previously plotted to have your bones rest forever?,Yes it is.
2061,unknown,http://dalneitzel.com/cheat-sheet/,Is the blaze one single object?,In a word - Yes.
2068,unknown,http://dalneitzel.com/cheat-sheet/,I would like to know if the blaze can be found during the day without a flashlight.,I would say yes.
2075,unknown,http://dalneitzel.com/cheat-sheet/,Did the same 9 clues exist when you were a kid and to your estimation will they still exist in 100 years and 1000 years?,The clues did not exist when I was a kid but most of the places the clues refer to did. I think they might exist in 100 years but the geography probably will change before we reach the next millenia.
2082,unknown,http://dalneitzel.com/cheat-sheet/,N/A - Consolidated quotes appearing throughout the article.,"Some folks correctly mentioned the first two clues to me in an email and then they went right past the other seven, not knowing they had been so close‰Û_ Some of the searchers have been within 500 feet I know‰Û_ The person who finds the treasure will have studied the poem over and over, and thought, and analyzed and moved with confidence. Nothing about it will be accidental... I said on the Today show that the treasure is not associated with any structure. Some people say I have a desire to mislead. That is not true. There are no notes to be found or safety deposit boxes to be searched. The clues can lead you to the treasure, and it will be there waiting when you arrive... Playing a hunch is not worth much in the search and those who start out by looking for the blaze are wasting their time. "
2089,unknown,http://dalneitzel.com/meeting-forrest/,N/A - Consolidated quotes appearing throughout the article.,No one knows where the treasure is hidden except me.
